City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tual,-5.6667,132.75,25.57,77,31,9.94,ID,1691455533
1,ushuaia,-54.8,-68.3,2.81,75,0,1.03,AR,1691455533
2,adamstown,-25.066,-130.1015,20.88,76,72,3.54,PN,1691455533
3,sarina,-21.4333,149.2167,24.04,61,1,5.44,AU,1691455533
4,hadibu,12.65,54.0333,25.58,80,41,9.97,YE,1691455534
5,west island,-12.1568,96.8225,24.99,88,40,4.63,CC,1691455535
6,aasiaat,68.7098,-52.8699,1.24,82,16,2.04,GL,1691455535
7,hawaiian paradise park,19.5933,-154.9731,28.74,76,0,3.6,US,1691455535
8,port-aux-francais,-49.35,70.2167,2.96,78,8,17.08,TF,1691455535
9,kingston,17.997,-76.7936,30.53,76,20,7.2,JM,1691455535
10,grytviken,-54.2811,-36.5092,-7.0,81,16,4.41,GS,1691455536
11,batticaloa,7.7102,81.6924,26.77,75,100,3.13,LK,1691455536
12,bredasdorp,-34.5322,20.0403,10.18,91,0,2.72,ZA,1691455536
13,waitangi,-43.9535,-176.5597,11.01,78,100,2.24,NZ,1691455536
14,dawei,14.0833,98.2,26.61,90,100,3.56,MM,1691455537
15,puerto natales,-51.7236,-72.4875,-0.23,88,100,1.22,CL,1691455537
16,blackmans bay,-43.0167,147.3167,11.52,70,9,1.33,AU,1691455537
17,tiksi,71.6872,128.8694,10.14,53,31,2.2,RU,1691455537
18,brigantine,39.4101,-74.3646,22.27,93,100,2.06,US,1691455537
19,afaahiti,-17.75,-149.2833,27.93,79,100,5.75,PF,1691455538
20,edinburgh of the seven seas,-37.0676,-12.3116,14.3,80,41,17.76,SH,1691455538
21,port macquarie,-31.4333,152.9167,18.83,61,14,4.15,AU,1691455538
22,kamina,-8.7386,24.9906,18.22,43,6,1.91,CD,1691455538
23,ilulissat,69.2167,-51.1,10.01,53,20,0.0,GL,1691455539
24,chibougamau,49.9168,-74.3659,19.79,60,75,1.54,CA,1691455398
25,mount gambier,-37.8333,140.7667,11.25,69,0,2.37,AU,1691455344
26,kidal,18.4411,1.4078,33.24,34,10,3.31,ML,1691455539
27,udachny,66.4167,112.4,19.14,39,100,3.78,RU,1691455539
28,kant,27.8,79.8,28.76,72,100,4.78,IN,1691455540
29,albany,42.6001,-73.9662,23.46,91,100,2.24,US,1691455362
30,hirara,24.8,125.2833,29.15,84,75,4.63,JP,1691455540
31,cooma,-36.2333,149.1333,11.94,50,2,0.38,AU,1691455540
32,cabo san lucas,22.8909,-109.9124,34.78,66,20,9.26,MX,1691455400
33,awjilah,29.1081,21.2869,24.19,70,6,5.76,LY,1691455541
34,invercargill,-46.4,168.35,7.79,72,70,4.47,NZ,1691455356
35,portland,45.5234,-122.6762,29.78,48,20,5.14,US,1691455023
36,camacupa,-12.0167,17.4833,14.01,40,0,1.86,AO,1691455404
37,mount isa,-20.7333,139.5,23.87,33,91,5.66,AU,1691455541
38,aioun,16.6614,-9.6149,30.5,58,79,7.69,MR,1691455542
39,tralee,52.2704,-9.7026,13.67,96,100,1.05,IE,1691455542
